,論文の発行年,論文が発行された媒体,媒体の巻号,論文タイトル,著者,媒体のページ数
2198,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41125 半透明ルーバーを有する多層型ダブルスキンファサードの環境性能に関する実測評価 : 第2報 熱環境性能実測結果について(パッシブ建築の性能評価,環境工学II)",市村 花恵 / 三由 賢 / 横田 雄史 / 長谷川 巌 / 田中 幸治 / 高井 啓明 / 安田 幸一,249-250
2199,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41126 三鷹市庁舎における開口部の性能向上効果に関する研究(パッシブ建築の性能評価,環境工学II)",及川 和将 / 須永 修通,251-252
2200,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41127 文献調査による非住宅建築の省エネルギー性能に関する研究(パッシブ建築の性能評価,環境工学II)",浅沼 祐也 / 須永 修通,253-254
2201,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41128 仙台地区におけるネットゼロエネルギー建築の可能性に関する研究(パッシブ建築の性能評価,環境工学II)",菅原 諒 / 竹林 芳久,255-256
2202,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41129 パッシブ手法を導入したメディカルセンターのリノベーション計画(パッシブ建築の性能評価,環境工学II)",野々口 義人 / 尾崎 明仁 / 河合 慎介 / 鈴木 香奈子,257-258
2203,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41130 日射遮蔽シートを用いた折板屋根の遮熱性能向上手法に関する研究(選抜梗概,エコ改修,オーガナイズドセッション,環境工学II)",/ 山中 俊夫 / 甲谷 寿史 / 桃井 良尚 / 相良 和伸 / 相馬 真子,259-262
2204,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41131 戸建住宅の断熱改修による環境改善に関する事例調査(選抜梗概,エコ改修,オーガナイズドセッション,環境工学II)",長谷川 兼一 / 松本 真一 / 細淵 勇人,263-266
2205,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41132 建物改修と環境教育がエネルギー消費にもたらす効果 : 東京都杉並区区立小学校を事例として(選抜梗概,エコ改修,オーガナイズドセッション,環境工学II)",望月 悦子 / 田中 稲子 / 村上 美奈子 / 古賀 誉章 / 高口 洋人 / 藤野 珠枝 / 谷口 新,267-270
2206,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41133 中学生の環境要素に対する感覚と居場所の選択行動の関係 : エコ改修された夏季の黒松内中学校を事例として(選抜梗概,エコ改修,オーガナイズドセッション,環境工学II)",中村 明子 / 斉藤 雅也,271-274
2207,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41134 学校建築の環境性能に関する基準の提案と仕様の検討(学校建築の環境性能と環境教育,環境工学II)",松井 優美 / 須永 修通,275-276
2208,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41135 学校エコ改修を教材とした環境教育が省エネ行動促進に及ぼす影響(学校建築の環境性能と環境教育,環境工学II)",富越 大介 / 伊香賀 俊治 / 小林 達也 / 木村 昌人 / 柳井 悠希,277-278
2209,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41136 夏の熱環境の快適さを題材にした一般の人向けの実験の授業の試み(学校建築の環境性能と環境教育,環境工学II)",北庄司 信之,279-280
2210,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41137 太陽光発電住宅におけるコミュニケーション型HEMSに関する研究 : その1 調査およびエネルギー消費の概要(居住者の住まい方・環境意識とエネルギー消費,環境工学II)",畑 泰彦 / 久和原 裕輝 / 長岐 淳 / 太田 真人 / 須永 修通,281-282
2211,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41138 太陽光発電住宅におけるコミュニケーション型HEMSに関する研究 : その2 HEMSモニタ閲覧状況と省エネルギー効果(居住者の住まい方・環境意識とエネルギー消費,環境工学II)",久和原 裕輝 / 畑 泰彦 / 長岐 淳 / 太田 真人 / 須永 修通,283-284
2212,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41139 太陽光発電住宅におけるコミュニケーション型HEMSに関する研究 : その3 閲覧頻度とコンサルティングの効果(居住者の住まい方・環境意識とエネルギー消費,環境工学II)",長岐 淳 / 畑 泰彦 / 久和原 裕輝 / 太田 真人 / 須永 修通,285-286
2213,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41140 家族の場の重なりを形成する住まい方とエネルギー消費に関する研究 : その1. 夕食後の家族の過ごし方と住宅・家族属性の関係(居住者の住まい方・環境意識とエネルギー消費,環境工学II)",村松 浩 / 下川 美代子,287-288
2214,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41141 家族の場の重なりを形成する住まい方とエネルギー消費に関する研究 : その1. 夕食後の家族の過ごし方とリビングダイニングキッチンの空間特性(居住者の住まい方・環境意識とエネルギー消費,環境工学II)",下川 美代子 / 村松 浩,289-290
2215,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41142 北九州市の環境配慮型集合住宅における住まい方マニュアルの提案 : その1 生活スケジュールを仮定した住まい手の省エネ行為による効果推計(居住者の住まい方・環境意識とエネルギー消費,環境工学II)",末崎 崇史 / 白石 靖幸,291-292
2216,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41143 夏季における住宅の熱環境実測と居住者の温熱感に関する研究(居住者の温熱感・快適性,環境工学II)",岩松 俊哉 / 中山 哲士 / 須永 修通,293-294
2217,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41144 自然通風時における人の快適性についての研究 : その1 基礎的被験者実験(居住者の温熱感・快適性,環境工学II)",中村 剛基 / 深澤 たまき / 太田 尚久 / 岩本 靜男,295-296
2218,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41145 人体近傍の温熱環境の変化と快・不快に関する実測検討(居住者の温熱感・快適性,環境工学II)",徳永 佳代 / 宿谷 昌則,297-298
2219,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41146 移動による熱環境の変化と「涼しさ」感の関係に関する研究(居住者の温熱感・快適性,環境工学II)",小野間 萌 / 徳永 佳代 / 宿谷 昌則,299-300
2220,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41147 窓のエネルギー性能評価に関するISO規格の日本の住宅への適用に関する研究 : その1 窓のエネルギー性能評価に関するISO規格の概要(熱性能評価指標,環境工学II)",木下 泰斗 / 齊藤 孝一郎 / 塩崎 智子 / 石橋 健太郎 / 赤坂 裕,301-302
2221,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41148 窓のエネルギー性能評価に関するISO規格の日本の住宅への適用に関する研究 : その2 ユーティリゼーションファクタによる月別および期間熱負荷簡易計算法(熱性能評価指標,環境工学II)",齊藤 孝一郎 / 木下 泰斗 / 石橋 健太郎 / 塩崎 智子 / 赤坂 裕,303-304
2222,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41149 窓のエネルギー性能評価に関するISO規格の日本の住宅への適用に関する研究 : その3 窓のエネルギー性能評価に用いる標準住宅モデルの条件設定と熱負荷詳細計算例(熱性能評価指標,環境工学II)",塩崎 智子 / 木下 泰斗 / 齊藤 孝一郎 / 石橋 健太郎 / 赤坂 裕,305-306
2223,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41150 窓のエネルギー性能評価に関するISO規格の日本の住宅への適用に関する研究 : その4 標準住宅モデルの期間熱負荷の詳細計算と簡易計算の比較(熱性能評価指標,環境工学II)",石橋 健太郎 / 齊藤 孝一郎 / 木下 泰斗 / 塩崎 智子 / 赤坂 裕,307-308
2224,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41151 熱損失係数の実測評価の実用性に関する研究 : その11 省エネルギーモデル住宅における窓改修前後の実測Q値(熱性能評価指標,環境工学II)",服部 哲幸 / 坂本 雄三 / 井口 雅登 / 樋口 誠六,309-310
2225,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41152 熱損失係数の実測評価の実用性に関する研究 : その12 測定期間の短縮に関する検討(熱性能評価指標,環境工学II)",樋口 誠六 / 服部 哲幸 / 井口 雅登 / 坂本 雄三,311-312
2226,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41153 窓断熱改修による温熱環境改善および冷暖房エネルギーの削減(断熱改修,環境工学II)",持留 崇志 / 鉾井 修一 / 高村 正彦 / 鈴木 淳,313-314
2227,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41154 断熱改修とPV設置前後における戸建住宅のエネルギー消費量の測定(断熱改修,環境工学II)",内田 哲晴 / 吉野 博 / 狩野 琢也,315-316
2228,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41155 屋根の高断熱化と高反射率化による小屋裏内温熱環境の改善効果 : その1 屋根モデルを用いた小屋裏内温度の実測(断熱改修,環境工学II)",永吉 智之 / 大塚 弘樹 / 青木 平等 / 太田 恭兵 / 近藤 靖史,317-318
2229,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41156 屋根の高断熱化と高反射率化による小屋裏内温熱環境の改善効果 : その2 自然室温と熱負荷計算結果に基づく小屋裏空間の有効利用の検討(断熱改修,環境工学II)",青木 平等 / 大塚 弘樹 / 永吉 智之 / 太田 恭平 / 近藤 靖史,319-320
2230,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41157 既存住宅の建設年次別ストックと断熱水準に関する推定 : その1 住宅の建設年次別残存率の推定(断熱改修,環境工学II)",小浦 孝次 / 坂口 敦子 / 砂川 雅彦 / 小坂 信二 / 鈴木 大隆,321-322
2231,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41158 既存住宅の建設年次別ストックと断熱水準に関する推定 : その2 既存住宅の断熱水準の推定(断熱改修,環境工学II)",小坂 信二 / 坂口 敦子 / 砂川 雅彦 / 小浦 孝次 / 鈴木 大隆,323-324
2232,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41159 窓の断熱性能計算規格の検証および実証試験(断熱評価,環境工学II)",木村 敏朗 / 中山 哲士 / 永田 明寛 / 田代 達一郎,325-326
2233,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41160 北部九州における住宅の断熱・遮熱性能に関する実験的研究 : その2 冬季実測結果(断熱評価,環境工学II)",藤本 大輔 / 龍 有二,327-328
2234,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41161 気候特性を考慮した住宅窓の断熱、遮熱性能に関する研究 : その1 付属部材を用いない窓の方位別シミュレーション(断熱評価,環境工学II)",砂川 雅彦 / 北谷 幸恵 / 鈴木 大隆 / 坂部 芳平 / 村田 さやか,329-330
2235,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41162 気候特性を考慮した住宅窓の断熱、遮熱性能に関する研究 : その2 付属部材を用いた窓の地域別シミュレーション(断熱評価,環境工学II)",北谷 幸恵 / 砂川 雅彦 / 鈴木 大隆 / 坂部 芳平 / 村田 さやか,331-332
2236,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41163 外張断熱工法における断熱欠損部の熱抵抗値算出に関する研究(断熱評価,環境工学II)",岡本 直樹 / 酒井 孝司 / 小野 浩己 / 木村 吉晴,333-334
2237,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41164 吹抜けを有する住宅における冬季の温熱環境の測定と解析(実測調査,環境工学II)",伊藤 志穂乃 / 鉾井 修一 / 小椋 大輔 / 松岡 大介,335-336
2238,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41165 住宅内吹き抜けが室内温熱環境に与える影響 : その3 コールドドラフト対策案の検討(実測調査,環境工学II)",瀧野 達也 / 深澤 たまき / 岩本 靜男 / 森戸 直美 / 千葉 陽輔,337-338
2239,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41166 住宅内吹き抜けが室内温熱環境に与える影響 : その4 二次エネルギー消費量と温熱環境(実測調査,環境工学II)",岩本 靜男 / 瀧野 達也 / 深澤 たまき / 齋藤 宏昭 / 森戸 直美 / 千葉 陽輔,339-340
2240,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41167 同一プランの断熱住宅2棟における温熱環境とエネルギー消費量の比較(実測調査,環境工学II)",齋藤 綾加 / 松本 真一 / 長谷川 兼一 / 細淵 勇人,341-342
2241,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41168 厳冬期における避難施設の温熱環境測定(実測調査,環境工学II)",森 太郎 / 南 慎一 / 竹内 慎一,343-344
2242,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41169 エントロピー概念の導出にかんする省察(伝熱解析,環境工学II)",宿谷 昌則,345-346
2243,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41170 地中埋設管の熱応答に関する考察と近似式の提案(伝熱解析,環境工学II)",永田 明寛,347-348
2244,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41171 線形近似単位応答を用いた地下構造物の簡易熱負計算手法に関する研究 : その1. コンクリート単層壁の部位別近似単位応答(伝熱解析,環境工学II)",水上 裕士 / 永井 久也 / 北野 博亮,349-350
2245,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41172 実建物の室温変動予測手法の検討(伝熱解析,環境工学II)",月館 司 / 立松 宏一,351-352
2246,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41173 熱・水分・空気連成を考慮した熱環境解析 : 伝熱モデルの違いが計算精度に及ぼす影響(伝熱解析,環境工学II)",隈 裕子 / 尾崎 明仁 / 李 明香,353-354
2247,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41174 非空調時における室内熱輸送性状に関する研究 その1 : 室内熱輸送の近似モデリング(伝熱解析,環境工学II)",張 偉栄 / 加藤 信介 / 樋山 恭助 / 石田 義洋,355-356
2248,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41175 非空調時における室内熱輸送性状に関する研究 その2 : 放射・対流・伝導を連成させた非定常CFD解析(伝熱解析,環境工学II)",周 游 / 張 偉栄 / 加藤 信介 / 樋山 恭助 / 石田 義洋,357-358
2249,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41176 既存住宅の断熱性能診断に関する技術検証 その4 : 熱伝達率センサーの測定敏感度に関する実測的検討(伝熱測定法,環境工学II)",萩原 伸治 / 黒木 勝一 / 李 時桓 / 加藤 信介,359-360
2250,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41177 既存住宅の断熱性能診断に関する技術検証 その5 熱伝達率センサーの測定敏感度に関する数値的検討(伝熱測定法,環境工学II)",李 時桓 / 加藤 信介 / 萩原 伸治,361-362
2251,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41178 既存住宅の断熱性能診断に関する技術検証 その6 : 空調方式の違い及び室内家具配置等による実際住宅の実測感度分析(伝熱測定法,環境工学II)",二川 智吏 / 李 時桓 / 手塚 純一 / 加藤 信介,363-364
2252,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41179 発泡プラスチック系断熱材の長期断熱性能に関する研究 : その1 被覆層の拡散抵抗による熱伝導率変化への影響に関する実験(伝熱測定法,環境工学II)",菊地 裕介 / 近藤 靖史 / 長澤 康弘 / 藤本 哲夫 / 田坂 太一,365-366
2253,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41180 発泡プラスチック系断熱材の長期断熱性能に関する研究 : その2 数値解析による被覆層の拡散抵抗の同定(伝熱測定法,環境工学II)",近藤 靖史 / 長澤 康弘 / 藤本 哲夫 / 菊地 裕介 / 田坂 太一,367-368
2254,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41181 赤外線サーモグラフィと写真測量ソフトを用いた暖房設備の熱放射特性計測法の提案(伝熱測定法,環境工学II)",菅原 正則,369-370
2255,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41182 接触熱伝導を考慮した床暖房室内の人体熱収支に関する研究 : その1 体表面温度等の実験把握(人体熱収支,環境工学II)",加治屋 亮一 / 蛭田 厚大 / 酒井 孝司 / 小野 浩己,371-372
2256,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41183 接触熱伝導を考慮した床暖房室内の人体熱収支に関する研究 : その2 実測実験とサーマルマネキンを用いたCFD解析の比較(人体熱収支,環境工学II)",蛭田 厚大 / 加治屋 亮一 / 酒井 孝司 / 小野 浩己,373-374
2257,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41184 暖房方式による人体周りの環境温度・熱伝達の違い(人体熱収支,環境工学II)",大森 敏明 / 田辺 新一 / 佐古井 智紀,375-376
2258,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41185 不均一熱環境を考慮した建築系と人体系の連成シミュレーション(人体熱収支,環境工学II)",李 明香 / 尾崎 明仁,377-378
2259,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41186 小型トラックキャビン内の換気効率に関する研究 その2 : 搭乗者の有無による換気効率の影響(人体熱収支,環境工学II)",達 晃一 / 何 佳 / 永野 秀明 / 加藤 信介,379-380
2260,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41187 車室内の温熱環境向上及び省エネルギーに関する研究 その1 : 人体生理モデル連成されたトラックキャビン内人体温熱環境解析(人体熱収支,環境工学II)",何 佳 / 永野 秀明 / 達 晃一 / 加藤 信介,381-382
2261,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41188 寝室における温熱環境と快適性に関する研究(熱的快適性,環境工学II)",小澤 真之 / リジャル H.B.,383-384
2262,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41189 リビングにおける温熱環境と快適感に関する研究(熱的快適性,環境工学II)",勝野 二郎 / リジャル H.B.,385-386
2263,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41190 夏季の暑熱環境における緑陰の涼房効果 : その1 実測によるパーゴラ空間の快適性評価(熱的快適性,環境工学II)",小林 愛里 / 尾崎 明仁,387-388
2264,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41191 園芸施設におけるドライミスト技術に関する研究 : その2 ライン型ユニット3列(h=1,500)による気温変動特性と熱収支(熱的快適性,環境工学II)",坪内 亮子 / 原田 昌幸 / 杉山 剛,389-390
2265,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41192 学校建築における教室の温熱環境改善に関する研究(熱的快適性,環境工学II)",坂口 竜一 / 二宮 秀與,391-392
2266,2011,"学術講演梗概集. D-2, 環境工学II, 熱, 湿気, 温熱感, 自然エネルギー, 気流・換気・排煙, 数値流体, 空気清浄, 暖冷房・空調, 熱源設備, 設備応用",2011,"41193 住宅開口部へのダイナミックインシュレーションの適用 その3 : 開口部サッシフレームの省エネルギー効果(熱性能シミュレーション,環境工学II)",田中 美穂 / 李 時桓 / 加藤 信介 / 野村 吉和 / 森 勝彦 / 大浦 豊 / 佐脇 哲史,393-394
